algorithm,label,num_vertices,num_edges,density,source,target,seed,repetitions,found,cost,mean_time_ms,median_time_ms,min_time_ms,max_time_ms,stddev_time_ms,nodes_processed,nodes_popped,edges_examined,relaxations,queue_pushes,max_queue_size
dijkstra,,3000,8998,0.001000,0,2999,7,30,0,,0.215230,0.204550,0.187900,0.367400,0.037908,2821,3211,8966,3210,3211,1069
astar_euclidean,,3000,8998,0.001000,0,2999,7,30,0,,0.341917,0.339300,0.274700,0.451400,0.038545,2821,3345,8966,3344,3345,1092
dijkstra,,3000,44986,0.005000,0,2999,7,30,1,1133.003542,0.450647,0.417250,0.403400,0.569000,0.052425,2230,2769,34285,5564,5565,3853
astar_euclidean,,3000,44986,0.005000,0,2999,7,30,1,1133.003542,0.133117,0.125700,0.114200,0.207000,0.020480,351,371,5479,3189,3190,2820
dijkstra,,3000,179940,0.020000,0,2999,7,30,1,423.333571,0.224973,0.217400,0.213600,0.343700,0.024137,444,521,26730,6350,6351,5831
astar_euclidean,,3000,179940,0.020000,0,2999,7,30,1,423.333571,0.116103,0.121350,0.085100,0.192600,0.024779,79,82,4585,2825,2826,2745
dijkstra,,3000,449850,0.050000,0,2999,7,30,1,61.929108,0.010000,0.007750,0.007600,0.036700,0.007282,5,5,610,572,573,569
astar_euclidean,,3000,449850,0.050000,0,2999,7,30,1,61.929108,0.004510,0.004200,0.004100,0.012100,0.001452,2,2,156,156,157,156
dijkstra,,3000,899700,0.100000,0,2999,7,30,1,61.929108,0.029890,0.026700,0.026200,0.093000,0.012263,9,9,2446,1937,1938,1930
astar_euclidean,,3000,899700,0.100000,0,2999,7,30,1,61.929108,0.006930,0.006400,0.006300,0.019600,0.002457,2,2,311,311,312,311
