algorithm,label,num_vertices,num_edges,density,source,target,seed,repetitions,found,cost,mean_time_ms,median_time_ms,min_time_ms,max_time_ms,stddev_time_ms,nodes_processed,nodes_popped,edges_examined,relaxations,queue_pushes,max_queue_size
dijkstra,,100,738,0.074545,0,99,42,30,1,566.620972,0.002063,0.001700,0.001600,0.007300,0.001168,44,55,320,81,82,29
astar_euclidean,,100,738,0.074545,0,99,42,30,1,566.620972,0.001337,0.001200,0.001100,0.003700,0.000542,13,17,92,33,34,18
dijkstra,,500,3608,0.014461,0,499,42,30,1,823.259730,0.015610,0.013000,0.012400,0.044900,0.007032,460,600,3306,616,617,65
astar_euclidean,,500,3608,0.014461,0,499,42,30,1,823.259730,0.005043,0.004500,0.004400,0.015300,0.002139,85,109,601,183,184,76
dijkstra,,1000,7094,0.007101,0,999,42,30,1,110.993652,0.001697,0.001500,0.001400,0.006800,0.000988,32,35,215,59,60,26
astar_euclidean,,1000,7094,0.007101,0,999,42,30,1,110.993652,0.001163,0.001100,0.001000,0.003400,0.000441,6,6,35,18,19,14
dijkstra,,5000,35368,0.001415,0,4999,42,30,1,474.174597,0.183727,0.177600,0.172800,0.260300,0.017728,2402,3209,16995,3357,3358,190
astar_euclidean,,5000,35368,0.001415,0,4999,42,30,1,474.174597,0.021437,0.016950,0.012500,0.101100,0.016651,226,304,1599,442,443,140
dijkstra,,10000,70252,0.000703,0,9999,42,30,1,709.946233,0.731163,0.706650,0.673500,0.917200,0.069599,7952,10717,55849,10947,10948,265
astar_euclidean,,10000,70252,0.000703,0,9999,42,30,1,709.946233,0.112733,0.109200,0.096900,0.186800,0.017539,1000,1536,7028,1863,1864,331
